,상품군별(1),운영형태별(1),날짜,거래액
324,가전·전자·통신기기,온라인 전용몰,2017.08,587165
325,가전·전자·통신기기,온·오프라인 병행몰,2017.08,171317
326,서적,온라인 전용몰,2017.08,49030
327,서적,온·오프라인 병행몰,2017.08,100959
328,사무·문구,온라인 전용몰,2017.08,43708
329,사무·문구,온·오프라인 병행몰,2017.08,14043
330,의복,온라인 전용몰,2017.08,564593
331,의복,온·오프라인 병행몰,2017.08,193632
332,신발,온라인 전용몰,2017.08,82240
333,신발,온·오프라인 병행몰,2017.08,36071
334,가방,온라인 전용몰,2017.08,111230
335,가방,온·오프라인 병행몰,2017.08,52231
336,패션용품 및 액세서리,온라인 전용몰,2017.08,99690
337,패션용품 및 액세서리,온·오프라인 병행몰,2017.08,78514
338,스포츠·레저용품,온라인 전용몰,2017.08,221339
339,스포츠·레저용품,온·오프라인 병행몰,2017.08,45012
340,화장품,온라인 전용몰,2017.08,238550
341,화장품,온·오프라인 병행몰,2017.08,414013
342,아동·유아용품,온라인 전용몰,2017.08,227080
343,아동·유아용품,온·오프라인 병행몰,2017.08,36450
344,음·식료품,온라인 전용몰,2017.08,432294
345,음·식료품,온·오프라인 병행몰,2017.08,260347
346,농축수산물,온라인 전용몰,2017.08,110918
347,농축수산물,온·오프라인 병행몰,2017.08,83171
348,생활용품,온라인 전용몰,2017.08,481991
349,생활용품,온·오프라인 병행몰,2017.08,149630
350,자동차 및 자동차용품,온라인 전용몰,2017.08,80159
351,자동차 및 자동차용품,온·오프라인 병행몰,2017.08,12541
352,가구,온라인 전용몰,2017.08,153948
353,가구,온·오프라인 병행몰,2017.08,73035
354,애완용품,온라인 전용몰,2017.08,57017
355,애완용품,온·오프라인 병행몰,2017.08,3573
356,여행 및 교통서비스,온라인 전용몰,2017.08,716128
357,여행 및 교통서비스,온·오프라인 병행몰,2017.08,690211
358,문화 및 레저서비스,온라인 전용몰,2017.08,90651
359,문화 및 레저서비스,온·오프라인 병행몰,2017.08,94232
360,이쿠폰서비스,온라인 전용몰,2017.08,98966
